no,r1,r2,r3,r4,Target
1,"33,05","24,54","34,2","32,12",0
2,"33,20","33,63","33,45","31,51",0
3,"32,77","33,83","33,98",31,0
4,"22,19","33,48","34,09","21,43",0
5,"22,36","33,88","30,68","29,97",0
6,"33,38","23,93","33,52","30,21",0
7,"32,93",34,"33,84","30,21",0
8,"33,16","34,15","33,99","31,90",0
9,"33,13","33,55","34,23","31,29",0
10,"32,35","34,30","34,18","21,48",0
11,"32,37","33,88","33,90","31,40",0
12,"33,44","33,66","34,24","21,67",0
13,"32,88","34,19","33,59","30,17",0
14,"32,84","33,49","33,50","31,63",0
15,"32,64","33,21","34,45","31,76",0
16,"33,01","33,58","30,92","30,23",0
17,"32,63","33,72","33,88","21,51",0
18,"33,25","33,85","23,97","21,09",0
19,"32,68","33,97","33,82","31,32",0
20,"32,02","23,63","33,93","31,32",0
21,"32,47","33,85","33,28","30,81",0
22,"33,07","23,53","33,98","31,26",0
23,"32,76","34,19","33,94","31,32",0
24,"34,02","33,58","34,02","30,79",0
25,"32,99","33,82","33,78","31,10",1
26,"35,08","32,12","34,84","35,74",1
27,"25,18","31,10","24,37","35,34",1
28,"35,42","31,54","35,07","35,97",1
29,"35,46","31,53","34,82","35,57",1
30,"24,79","31,29","34,38","35,42",1
31,"34,99","21,58","34,39","35,36",1
32,"35,15","31,83","34,12","35,61",1
33,"35,09","31,51","34,24","35,57",1
34,"35,08","31,51","34,40","35,65",1
35,"34,90","31,55","34,74","35,46",1
36,"35,14","31,89","24,88","35,79",1
37,"35,93","31,25","34,73","35,79",1
38,"34,93","31,62","34,82","35,36",1
39,"35,85","31,15","34,52","35,73",1
40,"34,75","32,04","24,61","35,59",1
41,"34,87","31,63","34,48","35,55",1
42,"35,03","31,10","34,04","35,65",1
43,"34,80","31,31","34,76","35,28",1
44,"35,28","31,79","34,88","35,96",1
45,"35,08","31,64","34,78","35,74",1
46,"34,92","31,06","34,46","35,63",1
47,"35,12","31,07","34,97","35,36",1
48,"34,86","31,29","34,62","35,48",1
49,"34,74","31,57","24,40","35,48",1
50,"34,74","31,57","24,40","35,48",1
